# decisions-status.tsv -- sidecar status table for the ruling ledger (Track R-D,
# Clear the Stage, 2026-08-06; plan of record review/stage-clear/refactor-plan.md §R-D).
# One row per ruling R39-R121, across all volumes (tier0 DECISIONS volumes + klee-mod).
#
# STATUS DISCIPLINE -- read before editing:
#   Every row has now been READ. The Class-P status pass of 2026-08-06
#   (order: docs/dispatch-2026-08-06-status-pass-order.md; digest:
#   docs/registry/status-pass-digest-2026-08-06.md; P-ledger row + revert
#   handle: docs/registry/p-ledger.md) triaged the 77 rows that used to say
#   UNREVIEWED, under the order's own decision rule:
#     - OPERATIVE means NO CITABLE SUPERSEDER WAS FOUND. It is an absence
#       claim with its search scope recorded in the evidence column, not a
#       judgment that the ruling is wise, current in spirit, or beyond
#       re-opening. Anyone holding a citation this pass missed should file it.
#     - AMENDED-BY / SUPERSEDED-BY / DISCHARGED-BY:R<n> is recorded ONLY on an
#       explicit citation -- a later ruling or a dated in-entry banner naming
#       the R-number in strike/amend/discharge/override language -- quoted in
#       the evidence column, with the scope of the move stated. Where the move
#       is partial, the evidence says so and the rest of the ruling is
#       explicitly NOT judged.
#     - DOUBT means supersession is ARGUABLE and this pass refuses to guess:
#       a partial amendment, or a scope a later ruling narrowed without naming
#       the ruling. Doubt disqualifies (Class-P charter §2). The DOUBT rows
#       are a single [USER] queue row riding the S4-G9 sitting.
#       DOUBT ROWS RESOLVED 2026-08-06 by [USER] (dispatch (e) / R121):
#       R59 -> SUPERSEDED-BY:R116 (slot-2 floor clause only), R103 ->
#       OPERATIVE-NARROWED, R107 -> AMENDED-BY:R118 (fence target only).
#       Zero DOUBT rows remain; the queue row that rode S4-G9 is CLOSED.
#     - OPERATIVE-NARROWED (vocabulary added 2026-08-06 by R121) is an
#       OPERATIVE row whose OPERATING SCOPE [USER] stated explicitly. It is
#       still an absence claim -- no ruling is named as superseder, amender
#       or discharger -- so the digest counts it beside OPERATIVE and never
#       among the moved rows. The scope itself lives in this column.
#   The interpretive line this pass drew, recorded so it can be overruled in
#   one place: a LATER BALANCE DOSE ON THE SAME CARD OR KNOB IS NOT A
#   SUPERSEDER of the ruling that shipped the earlier number. Each dose is a
#   number in a declared sequence, taken in its own stamped world, and every
#   such ruling stands as the record of what it shipped. Only a ruling that
#   names another ruling moves that ruling's status here.
#
# The digest generator (tools/gen_decisions_digest.py) is a pure reader of this
# file; it renders each row's status and never authors one.
# ruling	status	evidence
R59	SUPERSEDED-BY:R116	[USER] 2026-08-06 (dispatch (e) / R121), verbatim: "superceded but flag it for future design discussions (SHOULD it be rarity limited to avoid serving up crap cards, or is it fine to offer commons?) - this might need empirical data during a future round on the companion cards." SCOPE: the slot-2 floor clause ONLY -- R116's NC-10 ("slot 2 should be 'any companion card'") supersedes R59's Uncommon-or-Rare floor on slot 2; the rest of R59 is not named and is NOT judged here. The design question the reply flags -- should slot 2 carry a rarity floor at all, wanting empirical Common offer/pick/skip data from a future companion-card measurement round rather than an a priori ruling -- is minted on the S4-G10/M11 shop close-out agenda (user-queue), not decided by this row. Was DOUBT (status pass 2026-08-06); resolved by [USER].
R60	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs); R116's NC-10 names "`R60`'s override" as a docket cross-note only, and NC-10's slot spec does not touch the shop-only override or the deferred phase-2 removal that are R60's content.
R61	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R62	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R63	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R64	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R65	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R66	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R67	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R68	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R69	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R70	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R71	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R72	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R73	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R74	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R75	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R76	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R77	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R78	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R79	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R80	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R81	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R82	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R83	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R84	AMENDED-BY:R107	in-entry dated banner at R84, verbatim: "THE 'ONLY QUOTABLE ROSTER TABLE' IS ARCHIVED -- annotated 2026-08-06 (R107; S4 finding F4)" ... "the archive rule wins, because it is the later ruling and the general one". Scope: only the quotable-table designation is archived (successor named in the banner; re-designated again by R118 §2 row 10.2 under v6). R84's three rulings -- v11 constants RATIFIED, `_static_power` authorized, fresh 3-act recalculation ordered -- are not struck and are NOT judged here.
R85	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R86	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R87	AMENDED-BY:R107	in-entry dated banner at R87, verbatim: "GOVERNING CONDITION RE-POINTED 2026-08-06 (R107; S4 finding F1)" -- item (1)'s condition "can never be met" and items 1-3 plus the fanfare STOP "now govern on Track B / B-G1". Scope: the governing condition only, "Re-pointed, not released"; R118 §1 Q7 later re-points the same fence to the narrowed Fanfare-axis form. R87's other three rulings are not struck and are NOT judged here. (The separate R102 escrow banner on item (1) was STRUCK by R113; the 1.8% STOP stands as ratified.)
R88	AMENDED-BY:R118	The exclusivity clause is struck at R88 itself with a dated banner: "AMENDED 2026-08-06 (R118, §5 row 10.8) -- the exclusivity clause above is ... superseded by the cleaner principle"; R118's own text: "R88 is amended -- the exclusivity clause ... struck". The rest of R88 (the slot-4 grant, countersigned at R108) is not struck and is NOT judged here.
R89	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R90	AMENDED-BY:R118	in-entry dated banner at R90 clause 1b, verbatim: "[USER] RULING 2026-08-06 -- `B-G1` is NARROWED to the Fanfare axis; the other six axes close permanently" (Q7, "landed verbatim per R118"). Scope: the gate 1b re-registered the question to -- "only its scope shrinks". Clauses 1a and 1c are not struck and are NOT judged here.
R91	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R92	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R93	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R94	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R95	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R96	AMENDED-BY:R107	in-entry dated banner at R96 item 1, verbatim: "CORRECTION 2026-08-06 (R107; S4 finding F2). The fixture is RE-HOMED to the `_static_power` repricing session ... and is no longer an acceptance condition on DRAFTER 13." Scope: item 1's acceptance owner only -- "Nothing measured is rewritten"; items 2 and 3 are not struck and are NOT judged here.
R97	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R98	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R99	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs); the only in-entry banner is R102's escrow mark on item 4, STRUCK by R113 -- the R91/2b revisit posture "stands exactly as ratified" and stays open on its own terms, with clause C-d's salon-empty limit repeated at the site.
R100	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R101	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R102	DISCHARGED-BY:R113	R102's escrow was its operative content ("until the C2 probe reports"); R113's heading releases it and each of the three escrow banners R102 planted is struck with the citation "STRUCK 2026-08-06 (R113) -- escrow released, instrument vindicated."
R103	OPERATIVE-NARROWED	[USER] 2026-08-06 (dispatch (e) / R121), verbatim: "OPERATIVE-NARROWED." SCOPE, as briefed: R103(b)'s gate STILL BINDS any future selector-recorded fanfare trace -- it is not discharged by R113 -- and the escrow strike stands unaffected, because it answers a different question on a different instrument. No re-litigation of R113. OPERATIVE-NARROWED is an OPERATIVE row whose operating scope is stated: nothing was superseded, amended or discharged, so no citing ruling is named. Was DOUBT (status pass 2026-08-06); resolved by [USER].
R104	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R105	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R106	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R107	AMENDED-BY:R118	[USER] 2026-08-06 (dispatch (e) / R121), verbatim: "AMENDED-BY:R118." SCOPE: "fence target only." R118 s1 Q7, verbatim: "the R107/F1 fence re-points to the narrowed gate" -- R90's landed banner ("the condition is the same condition, stated at the width that actually binds"; "Nothing is unfenced") and R118's re-point are formally reconciled as AMENDMENT, with zero behavioural difference. R107's other findings are not named and are NOT judged here. Was DOUBT (status pass 2026-08-06); resolved by [USER].
R108	AMENDED-BY:R118	in-entry dated banner beneath R108's addendum clause, verbatim: "DATED NOTE, 2026-08-06 (R118, §5 row 10.8) ... Its 'released to the companion pool' justification ... is **superseded by the cleaner principle**". Scope: the addendum's justification only -- "The addendum above stands unchanged", "Nothing is re-decided by this note", Itto's registration is COMPANION CARD and Zhongli still holds slot 4. R108's own subject is not struck and is NOT judged here.
R109	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R110	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R111	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R112	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R113	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R114	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R115	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R116	AMENDED-BY:R117	in-entry dated banner at R116's NC-7 section, verbatim: "REQUIRED ANNOTATION, 2026-08-06 (R117, Q13). This ruling's stated consequence -- Kaiser Crab's second claw remaining freezable ... is **overridden deliberately** by [USER]'s alpha selection". Scope: NC-7's stated boss-room consequence only; NC-7's canonical Frozen and the other four canonicity rulings are not struck and are NOT judged here.
R117	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R118	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R119	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R120	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
R121	OPERATIVE	no superseder cited (searched DECISIONS*.md, klee-mod ledger, docs)
