turn_id	grader	verdict	refused_by	q1	q2	q3	q4	agree_q1	agree_q2	agree_q4	survives_alone	seed	run_state	role	instance
klee-slice1-r3-t05	opus-5-fresh	SURVIVES	-	Rapid Fire first, spending the 3-Spark bank on it so it costs 0 instead of its printed 2 …	Two. The first was spending the Spark on Kaboom! instead — that is plainly worse, since t…	5 Block, so 5 more HP off me this turn — 7 taken instead of 2. It also leaves Duck and Co…	Yes. The intent is doing real work here — 12 against 42 HP is affordable, which is exactl…	-	-	-	yes	PQUR2MZ6Z1KF	RUN	deciding	-
klee-slice1-r3-t06	codex-gpt-5.6-sol-fresh	REFUSED	intent_insensitive	Rapid Fire on Nibbit for 0, consuming 3 Sparks, then Kaboom! on Nibbit for its printed co…	Kaboom! first for 0, consuming the Sparks, followed by Rapid Fire for its printed cost of…	It gave up nothing in damage versus the other line; it retained 5 Block against Nibbit's …	No. With only one enemy, this line deals the maximum available attack damage while also a…	-	-	-	no	PQUR2MZ6Z1KF	RUN	deciding	-
klee-slice1-r3-t06	opus-5-fresh	SURVIVES	-	Rapid Fire first, then Kaboom!, then Duck and Cover. The Spark bank is 3 and only covers …	Two. First, the mirrored order — Kaboom! at 0 and Rapid Fire at its printed 2 — same 23 d…	The Burst meter and the fuller guard. I skipped Slow Burn entirely, so I gave up 10 Burst…	Yes, though it takes a lot. Against this 12 the race maths is clear and 23 damage is wort…	-	-	-	yes	PQUR2MZ6Z1KF	RUN	deciding	-
klee-slice1-t01	codex-gpt-5.6-sol-fresh	REFUSED	intent_insensitive	I played Rapid Fire, Kaboom!, and Flame on the Wick targeting Seapunk, then Duck and Cove…	I seriously considered omitting Duck and Cover, but spending 1 energy to reduce the teleg…	It consumed all 3 Sparks on the first Attack and left 1 energy unused; no other available…	No. With no stated downside to playing every Attack and enough energy to play Duck and Co…	-	-	-	no	N6PCA0C9GCFG	RUN	deciding	-
klee-slice1-t01	opus-5-fresh	REFUSED	intent_insensitive	I played the entire hand. All three attacks are printed at cost 0, so they are free regar…	Only briefly, and it did not survive: holding Duck and Cover and playing the three attack…	It empties the hand, so nothing is held back for a future turn — though with no retain te…	Not in any way that changes what I play. If Seapunk had telegraphed a defensive or buffin…	-	-	-	no	N6PCA0C9GCFG	RUN	deciding	-
klee-slice1-t02	codex-gpt-5.6-sol-fresh	REFUSED	no_second_line,intent_insensitive	Second Helping, Kaboom!, and Rapid Fire targeting Seapunk, then Duck and Cover.	none	Nothing visible on the page; all three attacks were free and Duck and Cover fit within th…	No. With the shown hand and energy, I could play every card regardless of the telegraphed…	-	-	-	no	N6PCA0C9GCFG	RUN	deciding	-
klee-slice1-t02	opus-5-fresh	SURVIVES	-	I emptied the hand. All three attacks are printed at cost 0, so energy never gated them; …	The ordering was the real decision. I considered opening with Rapid Fire or Kaboom! and s…	It gave up the Spark bank: 3 Sparks are gone and I start next turn at 0, so whatever the …	Yes, on the last card only. The three attacks go out regardless — they are free, there is…	-	-	-	yes	N6PCA0C9GCFG	RUN	deciding	-
klee-slice1-t03	codex-gpt-5.6-sol-fresh	SURVIVES	-	I played Eager to Help first while I still had Spark, then Rapid Fire, Kaboom! targeting …	I seriously considered leaving the second energy unspent after Eager to Help so it could …	It gave up the flexibility to spend the second energy on a card drawn by Eager to Help.	Yes. If Nibbit had not telegraphed damage, I would have omitted Duck and Cover and retain…	-	-	-	yes	LUMNB3D9GFKD	RUN	deciding	-
klee-slice1-t03	opus-5-fresh	SURVIVES	-	Eager to Help first, for 1 energy, while the Spark bank still reads 3 — that is the only …	Two. First: skip Eager to Help entirely and spend both energy on Duck and Cover plus hold…	It gives up nothing in damage — 23 is the whole hand's output regardless of order. What i…	Yes. Duck and Cover is entirely a response to the 12. If Nibbit telegraphed a buff, a deb…	-	-	-	yes	LUMNB3D9GFKD	RUN	deciding	-
klee-slice1-t04	codex-gpt-5.6-sol-fresh	REFUSED	intent_insensitive	Rummage first, then Rapid Fire and Kaboom! on Nibbit, then Duck and Cover.	I seriously considered attacking before Rummage, then playing Duck and Cover; that would …	It spent all 3 Sparks and both Energy, leaving no Energy to use on any nonzero-cost cards…	No. With the printed hand, I would still take the draw, play both free attacks, and gain …	-	-	-	no	LUMNB3D9GFKD	RUN	deciding	-
klee-slice1-t04	opus-5-fresh	SURVIVES	-	All four cards, in that order. Rummage goes first and that is the whole point of the turn…	Yes — skipping Rummage. That line plays Rapid Fire and Kaboom! (still free, still 23) and…	The Spark bank itself — after Rummage I have 0 Sparks, so if the drawn cards include an e…	Yes. Duck and Cover is only in the line because 12 damage is coming. If Nibbit were teleg…	-	-	-	yes	LUMNB3D9GFKD	RUN	deciding	-
klee-slice1-t05	codex-gpt-5.6-sol-fresh	SURVIVES	-	I played Imaginary Friend, then Duck and Cover, then Kaboom! targeting Nibbit, then Rapid…	I seriously considered omitting Duck and Cover, accepting 7 damage after Imaginary Friend…	It gave up all 2 Energy and consumed the 3 Sparks on the first Attack, rather than preser…	Yes. If Nibbit had not telegraphed damage, I would have omitted Duck and Cover because it…	-	-	-	yes	PQUR2MZ6Z1KF	RUN	deciding	-
klee-slice1-t05	opus-5-fresh	SURVIVES	-	The entire hand. Rapid Fire first (4 damage four times, all of it into Nibbit since it is…	Barely anything, and I want to be honest about how little there was. The only branch I ac…	The 3 Sparks, which got burned to make a card free that was already free — that is the re…	Yes. Against a non-attacking telegraph — a buff, a block-gain, a summon — the 10 Block is…	-	-	-	yes	PQUR2MZ6Z1KF	RUN	deciding	-
klee-slice1-t06	codex-gpt-5.6-sol-fresh	SURVIVES	-	Slow Burn, then Rapid Fire and Kaboom! targeting Nibbit, then Duck and Cover.	I seriously considered playing both attacks first, but the first Attack would consume the…	It gave up nothing playable from the shown hand; all four cards fit within 2 Energy and p…	Yes. If Nibbit had not telegraphed damage, I would have considered skipping Duck and Cove…	-	-	-	yes	PQUR2MZ6Z1KF	RUN	deciding	-
klee-slice1-t06	opus-5-fresh	REFUSED	intent_insensitive	The whole hand, in an order chosen so the Sparks are spent where they actually buy someth…	Yes, briefly, and both alternatives were about ordering rather than selection. First: lea…	The Sparks. Playing Slow Burn spends the whole bank of 3, so I go into next turn at 0 Spa…	No. The hand costs 2 energy in total and I have 2 energy, so I play all of it regardless …	-	-	-	no	PQUR2MZ6Z1KF	RUN	deciding	-
klee-sparks-r1-t01	codex-gpt-5.6-sol-fresh	SURVIVES	-	I played Powder Pop on Nibbit, spent its Spark on Ka-pow! targeting Nibbit, then played J…	I seriously considered replacing Duck and Cover with Kaboom! for 7 more damage.	The chosen line gave up Kaboom!'s 7 damage in exchange for 5 Block against the telegraphe…	Yes. If Nibbit had not telegraphed damage, I would have played Kaboom! instead of Duck an…	-	-	-	yes	R805DJ56LZHM	RUN	deciding	-
klee-sparks-r1-t01	local-qwen3-8-27b-ud-q4-k-xl	REFUSED	intent_insensitive	I played Powder Pop first to gain 1 Spark, then Jumpy Dumpty, then Kaboom! at Nibbit, the…	I seriously considered Powder Pop, Kaboom!, Duck and Cover, and Ka-pow! because it would …	The chosen line gave up Duck and Cover's 5 Block and any defensive value, leaving the pla…	No. The telegraphed 12 Attack is far below 62 HP, and the only defensive card available g…	-	-	-	no	R805DJ56LZHM	RUN	tester	-
klee-sparks-r1-t01	opus-5-fresh	SURVIVES	-	Everything except Duck and Cover. Powder Pop first, because it costs 0 and it is the only…	Yes — cutting Kaboom! and spending that last energy on Duck and Cover instead: Powder Pop…	Five Block and the 5 HP it would have saved — I eat the full 12 and end the turn at 50/62…	Yes. The 12 is small enough relative to a full 62 that it does not move me, but a substan…	-	-	-	yes	R805DJ56LZHM	RUN	deciding	-
klee-sparks-r1-t02	local-qwen3-8-27b-ud-q4-k-xl	REFUSED	intent_insensitive	I played Duck and Cover first, then Fwoosh! at Shrinker Beetle, then both Kaboom! cards a…	The only real alternative was spending the Spark on Ka-pow! instead of Fwoosh!. I rejecte…	It gave up the 7 damage from Ka-pow! because only one Spark card could be paid for. It al…	No. A different telegraphed intent would not have changed the selection: Fwoosh! still do…	-	-	-	no	YX7PB48WR7R4	RUN	tester	-
klee-sparks-r1-t02	opus-5-fresh	SURVIVES	-	Fwoosh! first, spending my single Spark on the bigger of the two Spark cards (8 rather th…	Yes — the same three attacks plus Duck and Cover with the leftover energy, on the reasoni…	One energy left unspent and 5 Block not gained, so I eat whatever the debuff is at full e…	Yes. If the Beetle had telegraphed an attack, Duck and Cover would go in on the spare ene…	-	-	-	yes	YX7PB48WR7R4	RUN	deciding	-
klee-sparks-r1-t03	local-qwen3-8-27b-ud-q4-k-xl	REFUSED	intent_insensitive	I played Bang Bang! on Seapunk, then Kaboom! on Seapunk, then Kaboom! on Seapunk, then Du…	I seriously considered Fwoosh! + Kaboom! + Kaboom! + Duck and Cover. That line would deal…	The chosen line gave up the 1 Spark that the Fwoosh! line would have saved. It also used …	No. A different enemy intent would not have changed the line under the information given.…	-	-	-	no	JH4T8MSN10KS	RUN	tester	-
klee-sparks-r1-t03	opus-5-fresh	REFUSED	intent_insensitive	Bang Bang! first, spending both Sparks: with Seapunk the only enemy, the two random 5-dam…	Fwoosh! instead of Bang Bang!, then both Kaboom! and Duck and Cover. That spends 1 Spark …	The Spark bank. I am at 0 Spark with Fwoosh! and Bang Bang! both dead in hand until Spark…	No. If the intent had been a bigger attack, I still have nothing more to block with — Duc…	-	-	-	no	JH4T8MSN10KS	RUN	deciding	-
klee-sparks-r1-t04	local-qwen3-8-27b-ud-q4-k-xl	SURVIVES	-	I played Kaboom! first for 1 Energy, then Jumpy Dumpty for 2 Energy. This used all 3 Ener…	I seriously considered Jumpy Dumpty followed by Duck and Cover. That line would have used…	The chosen line gave up 5 Block and therefore took the full 4 damage, ending the turn at …	Yes. If the enemy had telegraphed a much larger attack, the extra 5 Block from Jumpy Dump…	-	-	-	yes	XT4BE7LFY5XH	RUN	tester	-
klee-sparks-r1-t04	opus-5-fresh	SURVIVES	-	Jumpy Dumpty for 2, then Kaboom! for 1, spending all 3 Energy on the only enemy. Jumpy Du…	I weighed Spark Knight's Oath first and rejected it on arithmetic. Oath costs 2 of my 3 E…	All defense and all setup. I take the full 4 to the face and go to 38/62, and Duck and Co…	Yes. At 4 damage the Block is worth less than a fifth of the damage I gain by ignoring it…	-	-	-	yes	XT4BE7LFY5XH	RUN	deciding	-
klee-sparks-r1-t05	codex-gpt-5.6-sol-fresh	REFUSED	no_second_line,intent_insensitive	Ka-pow! on Sludge Spinner, both copies of Kaboom! on Sludge Spinner, then Duck and Cover.	none	It spent the 1 Spark, left Spark Knight's Oath unplayed, and accepted 3 unblocked damage …	No. With this hand and these resources, a different telegraphed intent would not have pro…	-	-	-	no	VEZY6KLK71XR	RUN	deciding	-
klee-sparks-r1-t05	local-qwen3-8-27b-ud-q4-k-xl	SURVIVES	-	I played Ka-pow! first, spending the 1 Spark for 7 damage and Pyro, then played both Kabo…	I seriously considered playing Ka-pow!, one Kaboom!, and Duck and Cover instead. That lin…	The chosen line gave up the 5 Block from Duck and Cover. Against the telegraphed 8 damage…	Yes. If Sludge Spinner had telegraphed a much larger attack, especially one that would be…	-	-	-	yes	VEZY6KLK71XR	RUN	tester	-
klee-sparks-r1-t05	opus-5-fresh	SURVIVES	-	I spent all 3 Energy and my single Spark. Ka-pow! costs 0 Energy and spends the 1 Spark I…	Spark Knight's Oath was the real alternative and I weighed it seriously. It costs 2 of my…	It gave up the Oath entirely — I burned my only Spark on Ka-pow! this turn, so the Oath's…	Yes, on the margin. Against this 8-damage Attack, Duck and Cover prevents 5 of it — real …	-	-	-	yes	VEZY6KLK71XR	RUN	deciding	-
klee-sparks-r1-t06	local-qwen3-8-27b-ud-q4-k-xl	REFUSED	intent_insensitive	I played Dodoco Blast for 7 damage to all enemies, then Kaboom! for 7 damage to Shrinker …	I considered Tinder Toss, Kaboom!, and Duck and Cover. It would have dealt 11 total damag…	The chosen line gave up playing Tinder Toss and the 1 Spark that would have remained if I…	No. An attack intent would make Duck and Cover more clearly useful, but I already played …	-	-	-	no	VG1MYKCZD93V	RUN	tester	-
klee-sparks-r1-t06	opus-5-fresh	SURVIVES	-	Dodoco Blast first, spending both Sparks for 7 damage and Pyro on the Shrinker Beetle, th…	Yes — Tinder Toss plus Kaboom!, which spends only 1 Spark for 4 damage and leaves 1 Spark…	It gives up the entire Spark bank in one card, so I enter next turn at 0 Sparks with Tind…	Yes. If the Beetle had telegraphed an attack, Duck and Cover becomes live — I have 2 spar…	-	-	-	yes	VG1MYKCZD93V	RUN	deciding	-
klee-sparks-r1-t07	local-qwen3-8-27b-ud-q4-k-xl	SURVIVES	-	I played Powder Pop first to gain 1 Spark, then Firework Finale on Sludge Spinner, then F…	I considered playing the same damage cards without Duck and Cover, since the enemy is not…	The chosen line gave up 4 of the starting 5 Sparks after Powder Pop, leaving only 1 Spark…	Yes. If the enemy had telegraphed a non-damaging intent, or an attack low enough that 5 B…	-	-	-	yes	EW3ZC40K83G4	RUN	tester	-
klee-sparks-r1-t07	opus-5-fresh	REFUSED	intent_insensitive	The entire hand. Powder Pop first: it costs 0 energy, places a 5-damage Bomb on the Sludg…	Two things. First, the ordering question: with 4 Sparks I can already pay Firework Finale…	It burns Firework Finale permanently — it Exhausts, so there is no later turn where I get…	No. Every card in the hand is affordable simultaneously — three at 0 energy and one at 1 …	-	-	-	no	EW3ZC40K83G4	RUN	deciding	-
klee-sparks-r1-t08	local-qwen3-8-27b-ud-q4-k-xl	REFUSED	intent_insensitive	I played Powder Pop first to deal 5 damage and gain 1 Spark, then played Ka-pow! spending…	I briefly considered Powder Pop, Ka-pow!, and Kaboom! without Duck and Cover, since the e…	It gave up the option of taking the 4 damage and leaving one energy unused, and it gave u…	No. A different intent would not have changed the line: Powder Pop still enables Ka-pow!,…	-	-	-	no	PRX320N09RMK	RUN	tester	-
klee-sparks-r1-t08	opus-5-fresh	REFUSED	intent_insensitive	Powder Pop first, because the Spark bank is empty and both Spark spenders are locked out …	Tinder Toss instead of Ka-pow! as the Spark spender. There is exactly one enemy, so the A…	One Spark is all this hand generates and I spent it on single-target damage, so Tinder To…	No. The damage half of the line is forced — Powder Pop is the only Spark source, Ka-pow! …	-	-	-	no	PRX320N09RMK	RUN	deciding	-
klee-sparks-r2-t01	local-qwen3-8-27b-ud-q4-k-xl	REFUSED	intent_insensitive	I played Bang Bang! at Seapunk, then Fwoosh! at Seapunk, then Kaboom! at Seapunk, then Du…	I seriously considered Firework Finale, then Kaboom!, then Duck and Cover. That line also…	The chosen line gave up the chance to Exhaust Firework Finale and to deal the 18 damage a…	No. The chosen line already takes the maximum available damage and the available Block wi…	-	-	-	no	JH4T8MSN10KS	RUN	shadow	-
klee-sparks-r2-t01	opus-5-fresh	SURVIVES	-	I emptied the hand except for Firework Finale. Kaboom! into Seapunk for 7, Fwoosh! for 8,…	The real alternative was Firework Finale plus Kaboom! plus Duck and Cover: 18 + 7 = 25 da…	It gave up Firework Finale as a live option for the rest of the fight in the sense that i…	Yes, but only at the edges - the damage half of the turn is untouchable. Against a non-at…	-	-	-	yes	JH4T8MSN10KS	RUN	deciding	lane0
klee-sparks-r2-t02	local-qwen3-8-27b-ud-q4-k-xl	SURVIVES	-	I played Kaboom! on Nibbit, then Jumpy Dumpty on Nibbit. Fwoosh! was unplayable because t…	I seriously considered playing both Kaboom! cards plus Duck and Cover for 14 damage and 5…	The chosen line gave up 5 Block from Duck and Cover. It also gave up playing the second K…	Yes. If the enemy intent had been a much larger attack where 5 Block could be the differe…	-	-	-	yes	R805DJ56LZHM	RUN	shadow	-
klee-sparks-r2-t02	opus-5-fresh	REFUSED	target_missing,intent_insensitive	I played Jumpy Dumpty for 2 energy and then one Kaboom! with the last energy. Fwoosh! is …	The line I actually weighed was Jumpy Dumpty plus Duck and Cover instead of the Kaboom: 1…	It gave up the 5 Block, so I take the full 12 and drop to 28 HP, and it also spends the t…	Honestly, no — I could not construct an intent that flips this. A bigger telegraphed atta…	-	-	-	no	R805DJ56LZHM	RUN	deciding	-
klee-sparks-r2-t03	local-qwen3-8-27b-ud-q4-k-xl	REFUSED	intent_insensitive	I played all four cards: Bang Bang! spending the 2 Sparks, then both Kaboom! cards at Shr…	I seriously considered playing both Kaboom! cards and Duck and Cover while saving the 2 S…	The chosen line gave up the 2 Sparks and all 3 Energy. The main real cost is spending the…	No. A different enemy intent would not have changed the line. The chosen line already pla…	-	-	-	no	YX7PB48WR7R4	RUN	shadow	-
klee-sparks-r2-t03	opus-5-fresh	REFUSED	intent_insensitive	I played my entire hand. Bang Bang! costs no energy and I had exactly the 2 Sparks it ask…	Honestly, no. I looked for a reason to hold something back and there wasn't one. The only…	It gave up the 2 Sparks and it gave up nothing else. Since I could afford the whole hand,…	No. The Beetle telegraphing a debuff rather than an attack made the 5 Block feel cosmetic…	-	-	-	no	YX7PB48WR7R4	RUN	deciding	-
klee-sparks-r2-t04	local-qwen3-8-27b-ud-q4-k-xl	REFUSED	intent_insensitive	I played Fwoosh! at Shrinker Beetle, then Kaboom! at Shrinker Beetle, then Duck and Cover…	I seriously considered Dodoco Blast, Kaboom!, and Duck and Cover. That line would spend b…	The chosen line gave up Dodoco Blast, including its all-enemies effect and the chance to …	No. A different intent would not have changed the line. If the enemy intended to attack, …	-	-	-	no	NMQLUYZDLV	RUN	shadow	-
klee-sparks-r2-t04	opus-5-fresh	SURVIVES	-	I played Fwoosh! into the Shrinker Beetle and then Kaboom! into it, for 15 damage total, …	The only thing I actually weighed was Dodoco Blast, and it fell apart the moment I did th…	In concrete terms I gave up the 5 Block from Duck and Cover, one Spark, and two energy, a…	Yes, though only at the margin. If the beetle were telegraphing an attack of any real siz…	-	-	-	yes	NMQLUYZDLV	RUN	deciding	lane0
klee-sparks-r2-t05	codex-gpt-5.6-sol-fresh	SURVIVES	-	I played both copies of Kaboom! on Fuzzy Wurm Crawler, then Duck and Cover, dealing 14 da…	I seriously considered playing only both copies of Kaboom!, since that dealt the same dam…	It gave up nothing immediately available: the Spark cards were unplayable, and Duck and C…	Yes. If the enemy had not intended to deal damage, I would have omitted Duck and Cover be…	-	-	-	yes	XT4BE7LFY5XH	RUN	deciding	-
klee-sparks-r2-t05	local-qwen3-8-27b-ud-q4-k-xl	REFUSED	no_second_line,intent_insensitive	I played Duck and Cover, then both Kaboom! cards at Fuzzy Wurm Crawler. This costs all 3 …	none	It gave up no playable card, damage, or Block. The only cards not played were already mar…	No. The chosen line plays every affordable playable card, and no card in the hand has a t…	-	-	-	no	XT4BE7LFY5XH	RUN	shadow	-
klee-sparks-r2-t05	opus-5-fresh	REFUSED	intent_insensitive	I played both Kaboom! copies into the Fuzzy Wurm Crawler and then Duck and Cover. That is…	Honestly, no. The only thing that looked like a choice for a moment was whether Duck and …	Very little, which is my main complaint. In pure resource terms I gave up nothing: no car…	No. Against a bigger attack I still play the same three cards in the same order, because …	-	-	-	no	XT4BE7LFY5XH	RUN	deciding	-
klee-sparks-r2-t06	codex-gpt-5.6-sol-fresh	SURVIVES	-	I played Dodoco Blast, then Kaboom! on Twig Slime (S), killing it, then Duck and Cover.	I seriously considered Bang Bang! instead of Dodoco Blast, followed by Kaboom! and Duck a…	It gave up the chance for Bang Bang!'s two random hits to concentrate 10 damage on one en…	Yes. A sufficiently dangerous attack telegraphed by one of the Leaf Slimes could have mad…	-	-	-	yes	R7W86HG7WHUD	RUN	deciding	-
klee-sparks-r2-t06	local-qwen3-8-27b-ud-q4-k-xl	SURVIVES	-	I played Dodoco Blast first, spending 2 Sparks to deal 7 damage to all enemies, killing T…	I considered playing Bang Bang! instead of Dodoco Blast, since it also costs 0 and spends…	It gave up the 2 Spark bank for future turns and the chance to use Bang Bang!'s random hi…	Yes. If the Leaf Slime (S) were not an immediate attacker or the Leaf Slime (M) telegraph…	-	-	-	yes	R7W86HG7WHUD	RUN	shadow	-
klee-sparks-r2-t06	opus-5-fresh	SURVIVES	-	I opened with Dodoco Blast, which costs no energy and eats both of my Sparks to put 7 on …	The only real branch was Bang Bang! instead of Dodoco Blast, since I have exactly one Spa…	It gave up Bang Bang! entirely — the Spark bank goes to 0 and that card sits dead in my h…	Yes, but only in the last two plays. If nothing on the board were attacking — say both sl…	-	-	-	yes	R7W86HG7WHUD	RUN	deciding	lane0
