fight_id	turn	field	sim_value	engine_value	action_context	suspected_reading_corruption
soak-20260804-222105-run002#f2		record.cards_played[Ethereal Spotlight]	0	6	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run002#f2		record.cards_played[Soloist's Solicitation]	3	4	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run002#f3		record.cards_played[Ethereal Spotlight]	0	6	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run002#f3		record.cards_played[Soloist's Solicitation]	2	3	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run002#f4		record.cards_played[Ethereal Spotlight]	0	10	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run002#f4		record.cards_played[Torrential Turn]	3	4	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run003#f1	3	l1.damage	7	5	card=Chevreuse — Interdiction Fire target=Nibbit target_hp=25->20 n_enemies=1	0
soak-20260804-222105-run003#f1		record.cards_played[Chevreuse — Interdiction Fire]	1	2	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run003#f1		record.cards_played[Ethereal Spotlight]	0	5	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run003#f2		record.cards_played[Ethereal Spotlight]	0	4	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run003#f2		record.cards_played[Flood of Emotion]	1	2	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run003#f3	1	l1.damage	14	15	card=Flood of Emotion target=Bygone Effigy target_hp=127->112 n_enemies=1	0
soak-20260804-222105-run003#f3	1	l1.damage	6	7	card=Soloist's Solicitation target=Bygone Effigy target_hp=112->105 n_enemies=1	0
soak-20260804-222105-run003#f3	2	l1.damage	7	11	card=Chevreuse — Interdiction Fire target=Bygone Effigy target_hp=105->94 n_enemies=1	0
soak-20260804-222105-run003#f3	3	l1.damage	6	13	card=Crescendo target=Bygone Effigy target_hp=94->81 n_enemies=1	0
soak-20260804-222105-run003#f3	4	l1.damage	14	30	card=Flood of Emotion target=Bygone Effigy target_hp=78->48 n_enemies=1	0
soak-20260804-222105-run003#f3	4	l1.damage	7	12	card=Chevreuse — Interdiction Fire target=Bygone Effigy target_hp=48->36 n_enemies=1	0
soak-20260804-222105-run003#f3		record.cards_played[Chevreuse — Interdiction Fire]	2	3	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run003#f3		record.cards_played[Ethereal Spotlight]	0	6	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run003#f4	2	l1.damage	7	10	card=Chevreuse — Interdiction Fire target=Fuzzy Wurm Crawler target_hp=39->29 n_enemies=1	0
soak-20260804-222105-run003#f4	2	l1.damage	6	9	card=Crescendo target=Fuzzy Wurm Crawler target_hp=29->20 n_enemies=1	0
soak-20260804-222105-run003#f4		record.cards_played[Ethereal Spotlight]	0	3	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run003#f4		record.cards_played[Soloist's Solicitation]	1	2	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run003#f5		record.cards_played[Crescendo]	1	2	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run003#f5		record.cards_played[Ethereal Spotlight]	0	6	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run003#f6		record.cards_played[Ethereal Spotlight]	0	4	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run003#f6		record.cards_played[Fischl — Nightrider]	0	1	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-222105-run003#f7	4	l1.damage	7	10	card=Chevreuse — Interdiction Fire target=Phrog Parasite target_hp=17->7 n_enemies=1	0
soak-20260804-222105-run003#f7		record.cards_played[Ethereal Spotlight]	0	4	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-224517-run001#f1	3	l1.damage	7	2	card=Chevreuse — Interdiction Fire target=Nibbit target_hp=29->27 n_enemies=1	0
soak-20260804-224517-run001#f1	1	l2.enemy_pool_drop	10	7	cards=4/4 hand_unresolved=0 n_enemies=1 pool=42->35	0
soak-20260804-224517-run001#f1	1	l2.fanfare_after_turn	0	3	cards=4/4 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f1	1	l2.fanfare_next_open_post_decay	0	3	cards=4/4 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f1	2	l2.enemy_pool_drop	6	1	cards=5/5 hand_unresolved=0 n_enemies=1 pool=35->34	0
soak-20260804-224517-run001#f1	2	l2.fanfare_after_turn	3	9	cards=5/5 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f1	2	l2.fanfare_next_open_post_decay	2	9	cards=5/5 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f1	2	l2.encore_after_turn	5	0	cards=5/5 hand_unresolved=0 n_enemies=1	1
soak-20260804-224517-run001#f1	3	l2.block_at_turn_end	6	7	cards=4/4 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f1	3	l2.enemy_pool_drop	16	13	cards=4/4 hand_unresolved=0 n_enemies=1 pool=34->21	0
soak-20260804-224517-run001#f1	3	l2.fanfare_after_turn	9	12	cards=4/4 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f1	3	l2.fanfare_next_open_post_decay	7	12	cards=4/4 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f1	3	l2.encore_after_turn	5	0	cards=4/4 hand_unresolved=0 n_enemies=1	1
soak-20260804-224517-run001#f1	4	l2.enemy_pool_drop	6	7	cards=4/4 hand_unresolved=0 n_enemies=1 pool=21->14	0
soak-20260804-224517-run001#f1	4	l2.fanfare_after_turn	12	16	cards=4/4 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f1	4	l2.fanfare_next_open_post_decay	10	16	cards=4/4 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f1	5	l2.enemy_pool_drop	14	8	cards=4/4 hand_unresolved=0 n_enemies=1 pool=14->6	0
soak-20260804-224517-run001#f1	5	l2.fanfare_after_turn	16	20	cards=4/4 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f1	5	l2.fanfare_next_open_post_decay	13	20	cards=4/4 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f1		record.cards_played[Ethereal Spotlight]	0	6	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-224517-run001#f1		record.cards_played[Soloist's Solicitation]	3	4	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-224517-run001#f2	3	l1.damage	6	4	card=Soloist's Solicitation target=Shrinker Beetle target_hp=9->5 n_enemies=1	0
soak-20260804-224517-run001#f2	1	l2.enemy_pool_drop	22	19	cards=4/4 hand_unresolved=0 n_enemies=1 pool=38->19	0
soak-20260804-224517-run001#f2	1	l2.fanfare_after_turn	0	3	cards=4/4 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f2	1	l2.fanfare_next_open_post_decay	0	3	cards=4/4 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f2	2	l2.block_at_turn_end	3	5	cards=4/4 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f2	2	l2.enemy_pool_drop	0	10	cards=4/4 hand_unresolved=0 n_enemies=1 pool=19->9	0
soak-20260804-224517-run001#f2	2	l2.fanfare_after_turn	3	11	cards=4/4 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f2	2	l2.fanfare_next_open_post_decay	2	11	cards=4/4 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f2	2	l2.encore_after_turn	5	0	cards=4/4 hand_unresolved=0 n_enemies=1	1
soak-20260804-224517-run001#f2	3	l2.block_at_turn_end	6	4	cards=5/5 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f2		record.cards_played[Ethereal Spotlight]	0	3	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-224517-run001#f3	1	l2.enemy_pool_drop	22	19	cards=4/4 hand_unresolved=0 n_enemies=1 pool=56->37	0
soak-20260804-224517-run001#f3	1	l2.fanfare_after_turn	0	6	cards=4/4 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f3	1	l2.fanfare_next_open_post_decay	0	6	cards=4/4 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f3	2	l2.enemy_pool_drop	0	10	cards=5/5 hand_unresolved=0 n_enemies=1 pool=37->27	0
soak-20260804-224517-run001#f3	2	l2.fanfare_after_turn	14	15	cards=5/5 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f3	2	l2.fanfare_next_open_post_decay	11	15	cards=5/5 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f3	2	l2.encore_after_turn	5	0	cards=5/5 hand_unresolved=0 n_enemies=1	1
soak-20260804-224517-run001#f3	3	l2.enemy_pool_drop	16	22	cards=4/4 hand_unresolved=0 n_enemies=1 pool=27->5	0
soak-20260804-224517-run001#f3	3	l2.fanfare_after_turn	20	21	cards=4/4 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f3	3	l2.fanfare_next_open_post_decay	16	21	cards=4/4 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f3		record.cards_played[Ethereal Spotlight]	0	4	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-224517-run001#f3		record.cards_played[Soloist's Solicitation]	3	4	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-224517-run001#f4	2	l1.damage	7	10	card=Chevreuse — Interdiction Fire target=Twig Slime (M) target_hp=23->13 n_enemies=2	0
soak-20260804-224517-run001#f4	1	l2.enemy_pool_drop	0	5	cards=5/5 hand_unresolved=0 n_enemies=2 pool=77->72	0
soak-20260804-224517-run001#f4	1	l2.fanfare_after_turn	13	10	cards=5/5 hand_unresolved=0 n_enemies=2	0
soak-20260804-224517-run001#f4	1	l2.fanfare_next_open_post_decay	13	10	cards=5/5 hand_unresolved=0 n_enemies=2	0
soak-20260804-224517-run001#f4	2	l2.block_at_turn_end	2	3	cards=4/4 hand_unresolved=0 n_enemies=2	0
soak-20260804-224517-run001#f4	2	l2.enemy_pool_drop	16	21	cards=4/4 hand_unresolved=0 n_enemies=2 pool=72->51	0
soak-20260804-224517-run001#f4	2	l2.fanfare_after_turn	10	19	cards=4/4 hand_unresolved=0 n_enemies=2	0
soak-20260804-224517-run001#f4	2	l2.fanfare_next_open_post_decay	8	19	cards=4/4 hand_unresolved=0 n_enemies=2	0
soak-20260804-224517-run001#f4	2	l2.encore_after_turn	5	0	cards=4/4 hand_unresolved=0 n_enemies=2	1
soak-20260804-224517-run001#f4	3	l2.block_at_turn_end	6	4	cards=4/4 hand_unresolved=0 n_enemies=2	0
soak-20260804-224517-run001#f4	3	l2.enemy_pool_drop	6	14	cards=4/4 hand_unresolved=0 n_enemies=2 pool=51->37	0
soak-20260804-224517-run001#f4	3	l2.fanfare_after_turn	25	24	cards=4/4 hand_unresolved=0 n_enemies=2	0
soak-20260804-224517-run001#f4	3	l2.fanfare_next_open_post_decay	20	24	cards=4/4 hand_unresolved=0 n_enemies=2	0
soak-20260804-224517-run001#f4	4	l2.block_at_turn_end	10	8	cards=4/4 hand_unresolved=1 n_enemies=2	0
soak-20260804-224517-run001#f4	4	l2.enemy_pool_drop	6	18	cards=4/4 hand_unresolved=1 n_enemies=2 pool=37->19	0
soak-20260804-224517-run001#f4	4	l2.fanfare_next_open_post_decay	19	24	cards=4/4 hand_unresolved=1 n_enemies=2	0
soak-20260804-224517-run001#f4	5	l2.block_at_turn_end	18	13	cards=4/4 hand_unresolved=0 n_enemies=2	0
soak-20260804-224517-run001#f4		record.cards_played[Ethereal Spotlight]	0	5	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-224517-run001#f5	1	l1.damage	10	15	card=Chevreuse — Ring of Bursting Grenades target=Fogmog target_hp=74->59 n_enemies=1	0
soak-20260804-224517-run001#f5	1	l2.enemy_pool_drop	25	19	cards=3/3 hand_unresolved=0 n_enemies=1 pool=74->55	0
soak-20260804-224517-run001#f5	2	l2.enemy_pool_drop	12	6	cards=4/4 hand_unresolved=0 n_enemies=1 pool=55->49	0
soak-20260804-224517-run001#f5	2	l2.fanfare_after_turn	11	9	cards=4/4 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f5	3	l2.enemy_pool_drop	10	0	cards=5/5 hand_unresolved=0 n_enemies=1 pool=49->49	0
soak-20260804-224517-run001#f5	3	l2.fanfare_after_turn	9	14	cards=5/5 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f5	3	l2.fanfare_next_open_post_decay	7	14	cards=5/5 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f5	4	l2.block_at_turn_end	19	17	cards=4/4 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f5	4	l2.fanfare_after_turn	19	20	cards=4/4 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f5	4	l2.fanfare_next_open_post_decay	15	20	cards=4/4 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f5	5	l2.enemy_pool_drop	21	16	cards=3/3 hand_unresolved=0 n_enemies=1 pool=49->33	0
soak-20260804-224517-run001#f5	5	l2.fanfare_after_turn	20	24	cards=3/3 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f5	5	l2.fanfare_next_open_post_decay	16	24	cards=3/3 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run001#f5	6	l2.block_at_turn_end	16	14	cards=4/4 hand_unresolved=2 n_enemies=1	0
soak-20260804-224517-run001#f5		record.cards_played[Ethereal Spotlight]	0	6	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-224517-run003#f1	1	l2.block_at_turn_end	7	6	cards=5/5 hand_unresolved=0 n_enemies=3	0
soak-20260804-224517-run003#f1	1	l2.fanfare_after_turn	0	5	cards=5/5 hand_unresolved=0 n_enemies=3	0
soak-20260804-224517-run003#f1	1	l2.fanfare_next_open_post_decay	0	5	cards=5/5 hand_unresolved=0 n_enemies=3	0
soak-20260804-224517-run003#f1	1	l2.encore_after_turn	5	0	cards=5/5 hand_unresolved=0 n_enemies=3	1
soak-20260804-224517-run003#f1	2	l2.enemy_pool_drop	9	5	cards=4/4 hand_unresolved=0 n_enemies=3 pool=44->39	0
soak-20260804-224517-run003#f1	2	l2.fanfare_after_turn	5	10	cards=4/4 hand_unresolved=0 n_enemies=3	0
soak-20260804-224517-run003#f1	2	l2.fanfare_next_open_post_decay	4	10	cards=4/4 hand_unresolved=0 n_enemies=3	0
soak-20260804-224517-run003#f1	3	l2.enemy_pool_drop	6	9	cards=4/4 hand_unresolved=2 n_enemies=3 pool=39->30	0
soak-20260804-224517-run003#f1	3	l2.fanfare_after_turn	16	15	cards=4/4 hand_unresolved=2 n_enemies=3	0
soak-20260804-224517-run003#f1	3	l2.fanfare_next_open_post_decay	13	15	cards=4/4 hand_unresolved=2 n_enemies=3	0
soak-20260804-224517-run003#f1	4	l2.enemy_pool_drop	11	15	cards=4/4 hand_unresolved=1 n_enemies=3 pool=30->15	0
soak-20260804-224517-run003#f1	4	l2.fanfare_after_turn	15	16	cards=4/4 hand_unresolved=1 n_enemies=3	0
soak-20260804-224517-run003#f1	4	l2.fanfare_next_open_post_decay	12	16	cards=4/4 hand_unresolved=1 n_enemies=3	0
soak-20260804-224517-run003#f1	5	l2.block_at_turn_end	4	6	cards=4/4 hand_unresolved=0 n_enemies=3	0
soak-20260804-224517-run003#f1		record.cards_played[Ethereal Spotlight]	0	5	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-224517-run003#f2	4	l1.damage	6	4	card=Freminet — Pers, Deploy! target=Shrinker Beetle target_hp=9->5 n_enemies=1	0
soak-20260804-224517-run003#f2	1	l2.block_at_turn_end	7	5	cards=4/4 hand_unresolved=1 n_enemies=1	0
soak-20260804-224517-run003#f2	1	l2.enemy_pool_drop	15	12	cards=4/4 hand_unresolved=1 n_enemies=1 pool=40->28	0
soak-20260804-224517-run003#f2	1	l2.fanfare_after_turn	0	1	cards=4/4 hand_unresolved=1 n_enemies=1	0
soak-20260804-224517-run003#f2	1	l2.fanfare_next_open_post_decay	0	1	cards=4/4 hand_unresolved=1 n_enemies=1	0
soak-20260804-224517-run003#f2	2	l2.enemy_pool_drop	6	13	cards=4/4 hand_unresolved=0 n_enemies=1 pool=28->15	0
soak-20260804-224517-run003#f2	2	l2.fanfare_after_turn	7	13	cards=4/4 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run003#f2	2	l2.fanfare_next_open_post_decay	6	13	cards=4/4 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run003#f2	2	l2.encore_after_turn	3	0	cards=4/4 hand_unresolved=0 n_enemies=1	1
soak-20260804-224517-run003#f2	3	l2.enemy_pool_drop	0	6	cards=3/3 hand_unresolved=0 n_enemies=1 pool=15->9	0
soak-20260804-224517-run003#f2	3	l2.fanfare_after_turn	17	21	cards=3/3 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run003#f2	3	l2.fanfare_next_open_post_decay	14	21	cards=3/3 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run003#f2	3	l2.encore_after_turn	3	0	cards=3/3 hand_unresolved=0 n_enemies=1	1
soak-20260804-224517-run003#f2		record.cards_played[Ethereal Spotlight]	0	4	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-224517-run003#f2		record.cards_played[Soloist's Solicitation]	2	3	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-224517-run003#f3	1	l2.block_at_turn_end	7	5	cards=3/3 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run003#f3	1	l2.enemy_pool_drop	0	2	cards=3/3 hand_unresolved=0 n_enemies=1 pool=56->54	0
soak-20260804-224517-run003#f3	1	l2.fanfare_after_turn	0	2	cards=3/3 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run003#f3	1	l2.fanfare_next_open_post_decay	0	2	cards=3/3 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run003#f3	1	l2.encore_after_turn	3	0	cards=3/3 hand_unresolved=0 n_enemies=1	1
soak-20260804-224517-run003#f3	2	l2.enemy_pool_drop	17	21	cards=4/4 hand_unresolved=1 n_enemies=1 pool=54->33	0
soak-20260804-224517-run003#f3	2	l2.fanfare_after_turn	8	9	cards=4/4 hand_unresolved=1 n_enemies=1	0
soak-20260804-224517-run003#f3	2	l2.fanfare_next_open_post_decay	6	9	cards=4/4 hand_unresolved=1 n_enemies=1	0
soak-20260804-224517-run003#f3	3	l2.block_at_turn_end	2	3	cards=5/5 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run003#f3	3	l2.enemy_pool_drop	15	21	cards=5/5 hand_unresolved=0 n_enemies=1 pool=33->12	0
soak-20260804-224517-run003#f3	3	l2.fanfare_after_turn	9	20	cards=5/5 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run003#f3	3	l2.fanfare_next_open_post_decay	7	20	cards=5/5 hand_unresolved=0 n_enemies=1	0
soak-20260804-224517-run003#f3	3	l2.encore_after_turn	5	0	cards=5/5 hand_unresolved=0 n_enemies=1	1
soak-20260804-224517-run003#f3	4	l2.enemy_pool_drop	5	11	cards=3/3 hand_unresolved=1 n_enemies=1 pool=12->1	0
soak-20260804-224517-run003#f3	4	l2.fanfare_next_open_post_decay	19	24	cards=3/3 hand_unresolved=1 n_enemies=1	0
soak-20260804-224517-run003#f3	4	l2.encore_after_turn	3	0	cards=3/3 hand_unresolved=1 n_enemies=1	1
soak-20260804-224517-run003#f3		record.cards_played[Ethereal Spotlight]	0	5	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-224517-run003#f3		record.cards_played[Freminet — Pers, Deploy!]	1	2	fight.cards_played vs posted play_card actions (same log)	1
soak-20260804-224517-run003#f4	2	l1.damage	7	2	card=Chevreuse — Interdiction Fire target=Nibbit target_hp=37->35 n_enemies=2	0
soak-20260804-224517-run003#f4	4	l1.damage	7	12	card=Chevreuse — Interdiction Fire target=Nibbit target_hp=29->17 n_enemies=2	0
soak-20260804-224517-run003#f4	7	l1.damage	6	5	card=Freminet — Pers, Deploy! target=Nibbit target_hp=36->31 n_enemies=2	0
soak-20260804-224517-run003#f4	8	l1.damage	7	10	card=Chevreuse — Interdiction Fire target=Nibbit target_hp=27->17 n_enemies=2	0
soak-20260804-224517-run003#f4	8	l1.damage	6	8	card=Soloist's Solicitation target=Nibbit target_hp=17->9 n_enemies=2	0
soak-20260804-224517-run003#f4	1	l2.enemy_pool_drop	5	0	cards=6/6 hand_unresolved=0 n_enemies=2 pool=87->87	0
soak-20260804-224517-run003#f4	1	l2.fanfare_after_turn	8	6	cards=6/6 hand_unresolved=0 n_enemies=2	0
soak-20260804-224517-run003#f4	1	l2.fanfare_next_open_post_decay	8	6	cards=6/6 hand_unresolved=0 n_enemies=2	0
